file_a,file_b,problem_id,is_plagiarized
dataset_preprocessed\binarySearch\1_binarySearch.py,dataset_preprocessed\binarySearch\2_binarySearch.py,binarySearch,0
dataset_preprocessed\binarySearch\1_binarySearch.py,dataset_preprocessed\binarySearch\3_binarySearch.py,binarySearch,0
dataset_preprocessed\binarySearch\1_binarySearch.py,dataset_preprocessed\binarySearch\4_binarySearch.py,binarySearch,1
dataset_preprocessed\binarySearch\1_binarySearch.py,dataset_preprocessed\binarySearch\5_binarySearch.py,binarySearch,1
dataset_preprocessed\binarySearch\1_binarySearch.py,dataset_preprocessed\binarySearch\6_binarySearch.py,binarySearch,1
dataset_preprocessed\binarySearch\2_binarySearch.py,dataset_preprocessed\binarySearch\3_binarySearch.py,binarySearch,0
dataset_preprocessed\binarySearch\2_binarySearch.py,dataset_preprocessed\binarySearch\4_binarySearch.py,binarySearch,1
dataset_preprocessed\binarySearch\2_binarySearch.py,dataset_preprocessed\binarySearch\5_binarySearch.py,binarySearch,1
dataset_preprocessed\binarySearch\2_binarySearch.py,dataset_preprocessed\binarySearch\6_binarySearch.py,binarySearch,1
dataset_preprocessed\binarySearch\3_binarySearch.py,dataset_preprocessed\binarySearch\4_binarySearch.py,binarySearch,1
dataset_preprocessed\binarySearch\3_binarySearch.py,dataset_preprocessed\binarySearch\5_binarySearch.py,binarySearch,1
dataset_preprocessed\binarySearch\3_binarySearch.py,dataset_preprocessed\binarySearch\6_binarySearch.py,binarySearch,1
dataset_preprocessed\binarySearch\4_binarySearch.py,dataset_preprocessed\binarySearch\5_binarySearch.py,binarySearch,1
dataset_preprocessed\binarySearch\4_binarySearch.py,dataset_preprocessed\binarySearch\6_binarySearch.py,binarySearch,1
dataset_preprocessed\binarySearch\5_binarySearch.py,dataset_preprocessed\binarySearch\6_binarySearch.py,binarySearch,1
dataset_preprocessed\bubblesort\1_bubblesort.py,dataset_preprocessed\bubblesort\2_bubble_sort.py,bubblesort,0
dataset_preprocessed\bubblesort\1_bubblesort.py,dataset_preprocessed\bubblesort\3_bubble_sort.py,bubblesort,0
dataset_preprocessed\bubblesort\1_bubblesort.py,dataset_preprocessed\bubblesort\4_sort_selection.py,bubblesort,1
dataset_preprocessed\bubblesort\1_bubblesort.py,dataset_preprocessed\bubblesort\5_bubble_sort.py,bubblesort,1
dataset_preprocessed\bubblesort\1_bubblesort.py,dataset_preprocessed\bubblesort\6_bubble_sort.py,bubblesort,1
dataset_preprocessed\bubblesort\2_bubble_sort.py,dataset_preprocessed\bubblesort\3_bubble_sort.py,bubblesort,0
dataset_preprocessed\bubblesort\2_bubble_sort.py,dataset_preprocessed\bubblesort\4_sort_selection.py,bubblesort,1
dataset_preprocessed\bubblesort\2_bubble_sort.py,dataset_preprocessed\bubblesort\5_bubble_sort.py,bubblesort,1
dataset_preprocessed\bubblesort\2_bubble_sort.py,dataset_preprocessed\bubblesort\6_bubble_sort.py,bubblesort,1
dataset_preprocessed\bubblesort\3_bubble_sort.py,dataset_preprocessed\bubblesort\4_sort_selection.py,bubblesort,1
dataset_preprocessed\bubblesort\3_bubble_sort.py,dataset_preprocessed\bubblesort\5_bubble_sort.py,bubblesort,1
dataset_preprocessed\bubblesort\3_bubble_sort.py,dataset_preprocessed\bubblesort\6_bubble_sort.py,bubblesort,1
dataset_preprocessed\bubblesort\4_sort_selection.py,dataset_preprocessed\bubblesort\5_bubble_sort.py,bubblesort,1
dataset_preprocessed\bubblesort\4_sort_selection.py,dataset_preprocessed\bubblesort\6_bubble_sort.py,bubblesort,1
dataset_preprocessed\bubblesort\5_bubble_sort.py,dataset_preprocessed\bubblesort\6_bubble_sort.py,bubblesort,1
dataset_preprocessed\factorial\1_factorial.py,dataset_preprocessed\factorial\2_factorial.py,factorial,0
dataset_preprocessed\factorial\1_factorial.py,dataset_preprocessed\factorial\3_factorial.py,factorial,0
dataset_preprocessed\factorial\1_factorial.py,dataset_preprocessed\factorial\4_factorial.py,factorial,1
dataset_preprocessed\factorial\1_factorial.py,dataset_preprocessed\factorial\5_factorial.py,factorial,1
dataset_preprocessed\factorial\1_factorial.py,dataset_preprocessed\factorial\6_factorial.py,factorial,1
dataset_preprocessed\factorial\2_factorial.py,dataset_preprocessed\factorial\3_factorial.py,factorial,0
dataset_preprocessed\factorial\2_factorial.py,dataset_preprocessed\factorial\4_factorial.py,factorial,1
dataset_preprocessed\factorial\2_factorial.py,dataset_preprocessed\factorial\5_factorial.py,factorial,1
dataset_preprocessed\factorial\2_factorial.py,dataset_preprocessed\factorial\6_factorial.py,factorial,1
dataset_preprocessed\factorial\3_factorial.py,dataset_preprocessed\factorial\4_factorial.py,factorial,1
dataset_preprocessed\factorial\3_factorial.py,dataset_preprocessed\factorial\5_factorial.py,factorial,1
dataset_preprocessed\factorial\3_factorial.py,dataset_preprocessed\factorial\6_factorial.py,factorial,1
dataset_preprocessed\factorial\4_factorial.py,dataset_preprocessed\factorial\5_factorial.py,factorial,1
dataset_preprocessed\factorial\4_factorial.py,dataset_preprocessed\factorial\6_factorial.py,factorial,1
dataset_preprocessed\factorial\5_factorial.py,dataset_preprocessed\factorial\6_factorial.py,factorial,1
dataset_preprocessed\fibonacci\1_fibonacci.py,dataset_preprocessed\fibonacci\2_fibonacci.py,fibonacci,0
dataset_preprocessed\fibonacci\1_fibonacci.py,dataset_preprocessed\fibonacci\3_fibonacci.py,fibonacci,0
dataset_preprocessed\fibonacci\1_fibonacci.py,dataset_preprocessed\fibonacci\4_fibonacci.py,fibonacci,1
dataset_preprocessed\fibonacci\1_fibonacci.py,dataset_preprocessed\fibonacci\5_fibonacci.py,fibonacci,1
dataset_preprocessed\fibonacci\1_fibonacci.py,dataset_preprocessed\fibonacci\6_fibonacci.py,fibonacci,1
dataset_preprocessed\fibonacci\2_fibonacci.py,dataset_preprocessed\fibonacci\3_fibonacci.py,fibonacci,0
dataset_preprocessed\fibonacci\2_fibonacci.py,dataset_preprocessed\fibonacci\4_fibonacci.py,fibonacci,1
dataset_preprocessed\fibonacci\2_fibonacci.py,dataset_preprocessed\fibonacci\5_fibonacci.py,fibonacci,1
dataset_preprocessed\fibonacci\2_fibonacci.py,dataset_preprocessed\fibonacci\6_fibonacci.py,fibonacci,1
dataset_preprocessed\fibonacci\3_fibonacci.py,dataset_preprocessed\fibonacci\4_fibonacci.py,fibonacci,1
dataset_preprocessed\fibonacci\3_fibonacci.py,dataset_preprocessed\fibonacci\5_fibonacci.py,fibonacci,1
dataset_preprocessed\fibonacci\3_fibonacci.py,dataset_preprocessed\fibonacci\6_fibonacci.py,fibonacci,1
dataset_preprocessed\fibonacci\4_fibonacci.py,dataset_preprocessed\fibonacci\5_fibonacci.py,fibonacci,1
dataset_preprocessed\fibonacci\4_fibonacci.py,dataset_preprocessed\fibonacci\6_fibonacci.py,fibonacci,1
dataset_preprocessed\fibonacci\5_fibonacci.py,dataset_preprocessed\fibonacci\6_fibonacci.py,fibonacci,1
dataset_preprocessed\matrixMultiply\1_matrixMultiply.py,dataset_preprocessed\matrixMultiply\2_matrixMultiply.py,matrixMultiply,0
dataset_preprocessed\matrixMultiply\1_matrixMultiply.py,dataset_preprocessed\matrixMultiply\3_matrixMultiply.py,matrixMultiply,0
dataset_preprocessed\matrixMultiply\1_matrixMultiply.py,dataset_preprocessed\matrixMultiply\4_matrixMultiply.py,matrixMultiply,1
dataset_preprocessed\matrixMultiply\1_matrixMultiply.py,dataset_preprocessed\matrixMultiply\5_matrixMultiply.py,matrixMultiply,1
dataset_preprocessed\matrixMultiply\1_matrixMultiply.py,dataset_preprocessed\matrixMultiply\6_matrixMultiply.py,matrixMultiply,1
dataset_preprocessed\matrixMultiply\2_matrixMultiply.py,dataset_preprocessed\matrixMultiply\3_matrixMultiply.py,matrixMultiply,0
dataset_preprocessed\matrixMultiply\2_matrixMultiply.py,dataset_preprocessed\matrixMultiply\4_matrixMultiply.py,matrixMultiply,1
dataset_preprocessed\matrixMultiply\2_matrixMultiply.py,dataset_preprocessed\matrixMultiply\5_matrixMultiply.py,matrixMultiply,1
dataset_preprocessed\matrixMultiply\2_matrixMultiply.py,dataset_preprocessed\matrixMultiply\6_matrixMultiply.py,matrixMultiply,1
dataset_preprocessed\matrixMultiply\3_matrixMultiply.py,dataset_preprocessed\matrixMultiply\4_matrixMultiply.py,matrixMultiply,1
dataset_preprocessed\matrixMultiply\3_matrixMultiply.py,dataset_preprocessed\matrixMultiply\5_matrixMultiply.py,matrixMultiply,1
dataset_preprocessed\matrixMultiply\3_matrixMultiply.py,dataset_preprocessed\matrixMultiply\6_matrixMultiply.py,matrixMultiply,1
dataset_preprocessed\matrixMultiply\4_matrixMultiply.py,dataset_preprocessed\matrixMultiply\5_matrixMultiply.py,matrixMultiply,1
dataset_preprocessed\matrixMultiply\4_matrixMultiply.py,dataset_preprocessed\matrixMultiply\6_matrixMultiply.py,matrixMultiply,1
dataset_preprocessed\matrixMultiply\5_matrixMultiply.py,dataset_preprocessed\matrixMultiply\6_matrixMultiply.py,matrixMultiply,1
dataset_preprocessed\palindrome\1_palindrome.py,dataset_preprocessed\palindrome\2_palindrome.py,palindrome,0
dataset_preprocessed\palindrome\1_palindrome.py,dataset_preprocessed\palindrome\3_palindrome.py,palindrome,0
dataset_preprocessed\palindrome\1_palindrome.py,dataset_preprocessed\palindrome\4_palindrome.py,palindrome,1
dataset_preprocessed\palindrome\1_palindrome.py,dataset_preprocessed\palindrome\5_palindrome.py,palindrome,1
dataset_preprocessed\palindrome\1_palindrome.py,dataset_preprocessed\palindrome\6_palindrome.py,palindrome,1
dataset_preprocessed\palindrome\2_palindrome.py,dataset_preprocessed\palindrome\3_palindrome.py,palindrome,0
dataset_preprocessed\palindrome\2_palindrome.py,dataset_preprocessed\palindrome\4_palindrome.py,palindrome,1
dataset_preprocessed\palindrome\2_palindrome.py,dataset_preprocessed\palindrome\5_palindrome.py,palindrome,1
dataset_preprocessed\palindrome\2_palindrome.py,dataset_preprocessed\palindrome\6_palindrome.py,palindrome,1
dataset_preprocessed\palindrome\3_palindrome.py,dataset_preprocessed\palindrome\4_palindrome.py,palindrome,1
dataset_preprocessed\palindrome\3_palindrome.py,dataset_preprocessed\palindrome\5_palindrome.py,palindrome,1
dataset_preprocessed\palindrome\3_palindrome.py,dataset_preprocessed\palindrome\6_palindrome.py,palindrome,1
dataset_preprocessed\palindrome\4_palindrome.py,dataset_preprocessed\palindrome\5_palindrome.py,palindrome,1
dataset_preprocessed\palindrome\4_palindrome.py,dataset_preprocessed\palindrome\6_palindrome.py,palindrome,1
dataset_preprocessed\palindrome\5_palindrome.py,dataset_preprocessed\palindrome\6_palindrome.py,palindrome,1
dataset_preprocessed\primeNumber\1_primeNumber.py,dataset_preprocessed\primeNumber\2_primeNumber.py,primeNumber,0
dataset_preprocessed\primeNumber\1_primeNumber.py,dataset_preprocessed\primeNumber\3_primeNumber.py,primeNumber,0
