file_a,file_b,problem_id,is_plagiarized,jaccard,structural,combined
dataset_preprocessed\binarySearch\1_binarySearch.py,dataset_preprocessed\binarySearch\2_binarySearch.py,binarySearch,0,0.3313,0.7388,0.7388
dataset_preprocessed\binarySearch\1_binarySearch.py,dataset_preprocessed\binarySearch\3_binarySearch.py,binarySearch,0,0.2083,0.5728,0.5728
dataset_preprocessed\binarySearch\1_binarySearch.py,dataset_preprocessed\binarySearch\4_binarySearch.py,binarySearch,1,0.6525,0.8729,0.8729
dataset_preprocessed\binarySearch\1_binarySearch.py,dataset_preprocessed\binarySearch\5_binarySearch.py,binarySearch,1,0.5238,0.8681,0.8681
dataset_preprocessed\binarySearch\1_binarySearch.py,dataset_preprocessed\binarySearch\6_binarySearch.py,binarySearch,1,0.2642,0.8871,0.8871
dataset_preprocessed\binarySearch\2_binarySearch.py,dataset_preprocessed\binarySearch\3_binarySearch.py,binarySearch,0,0.1623,0.5234,0.5234
dataset_preprocessed\binarySearch\2_binarySearch.py,dataset_preprocessed\binarySearch\4_binarySearch.py,binarySearch,1,0.2658,0.6148,0.6148
dataset_preprocessed\binarySearch\2_binarySearch.py,dataset_preprocessed\binarySearch\5_binarySearch.py,binarySearch,1,0.1796,0.6091,0.6091
dataset_preprocessed\binarySearch\2_binarySearch.py,dataset_preprocessed\binarySearch\6_binarySearch.py,binarySearch,1,0.1075,0.6328,0.6328
dataset_preprocessed\binarySearch\3_binarySearch.py,dataset_preprocessed\binarySearch\4_binarySearch.py,binarySearch,1,0.224,0.5495,0.5495
dataset_preprocessed\binarySearch\3_binarySearch.py,dataset_preprocessed\binarySearch\5_binarySearch.py,binarySearch,1,0.1111,0.5414,0.5414
dataset_preprocessed\binarySearch\3_binarySearch.py,dataset_preprocessed\binarySearch\6_binarySearch.py,binarySearch,1,0.1197,0.5876,0.5876
dataset_preprocessed\binarySearch\4_binarySearch.py,dataset_preprocessed\binarySearch\5_binarySearch.py,binarySearch,1,0.6442,0.9953,0.9953
dataset_preprocessed\binarySearch\4_binarySearch.py,dataset_preprocessed\binarySearch\6_binarySearch.py,binarySearch,1,0.295,0.9107,0.9107
dataset_preprocessed\binarySearch\5_binarySearch.py,dataset_preprocessed\binarySearch\6_binarySearch.py,binarySearch,1,0.3111,0.9148,0.9148
dataset_preprocessed\bubblesort\1_bubblesort.py,dataset_preprocessed\bubblesort\2_bubble_sort.py,bubblesort,0,0.5688,0.9053,0.9053
dataset_preprocessed\bubblesort\1_bubblesort.py,dataset_preprocessed\bubblesort\3_bubble_sort.py,bubblesort,0,0.4912,0.8675,0.8675
dataset_preprocessed\bubblesort\1_bubblesort.py,dataset_preprocessed\bubblesort\4_sort_selection.py,bubblesort,1,0.374,0.8448,0.8448
dataset_preprocessed\bubblesort\1_bubblesort.py,dataset_preprocessed\bubblesort\5_bubble_sort.py,bubblesort,1,0.4915,0.9113,0.9113
dataset_preprocessed\bubblesort\1_bubblesort.py,dataset_preprocessed\bubblesort\6_bubble_sort.py,bubblesort,1,0.3016,0.8099,0.8099
dataset_preprocessed\bubblesort\2_bubble_sort.py,dataset_preprocessed\bubblesort\3_bubble_sort.py,bubblesort,0,0.315,0.784,0.784
dataset_preprocessed\bubblesort\2_bubble_sort.py,dataset_preprocessed\bubblesort\4_sort_selection.py,bubblesort,1,0.3719,0.7554,0.7554
dataset_preprocessed\bubblesort\2_bubble_sort.py,dataset_preprocessed\bubblesort\5_bubble_sort.py,bubblesort,1,0.4914,0.8273,0.8273
dataset_preprocessed\bubblesort\2_bubble_sort.py,dataset_preprocessed\bubblesort\6_bubble_sort.py,bubblesort,1,0.5481,0.9053,0.9053
dataset_preprocessed\bubblesort\3_bubble_sort.py,dataset_preprocessed\bubblesort\4_sort_selection.py,bubblesort,1,0.2992,0.795,0.795
dataset_preprocessed\bubblesort\3_bubble_sort.py,dataset_preprocessed\bubblesort\5_bubble_sort.py,bubblesort,1,0.3543,0.8941,0.8941
dataset_preprocessed\bubblesort\3_bubble_sort.py,dataset_preprocessed\bubblesort\6_bubble_sort.py,bubblesort,1,0.1765,0.747,0.747
dataset_preprocessed\bubblesort\4_sort_selection.py,dataset_preprocessed\bubblesort\5_bubble_sort.py,bubblesort,1,0.4492,0.8487,0.8487
dataset_preprocessed\bubblesort\4_sort_selection.py,dataset_preprocessed\bubblesort\6_bubble_sort.py,bubblesort,1,0.1955,0.7155,0.7155
dataset_preprocessed\bubblesort\5_bubble_sort.py,dataset_preprocessed\bubblesort\6_bubble_sort.py,bubblesort,1,0.2576,0.7984,0.7984
dataset_preprocessed\factorial\1_factorial.py,dataset_preprocessed\factorial\2_factorial.py,factorial,0,0.1639,0.6957,0.6957
dataset_preprocessed\factorial\1_factorial.py,dataset_preprocessed\factorial\3_factorial.py,factorial,0,0.3654,0.7097,0.7097
dataset_preprocessed\factorial\1_factorial.py,dataset_preprocessed\factorial\4_factorial.py,factorial,1,1.0,1.0,1.0
dataset_preprocessed\factorial\1_factorial.py,dataset_preprocessed\factorial\5_factorial.py,factorial,1,0.6829,0.9318,0.9318
dataset_preprocessed\factorial\1_factorial.py,dataset_preprocessed\factorial\6_factorial.py,factorial,1,0.2931,0.8125,0.8125
dataset_preprocessed\factorial\2_factorial.py,dataset_preprocessed\factorial\3_factorial.py,factorial,0,0.1667,0.6022,0.6022
dataset_preprocessed\factorial\2_factorial.py,dataset_preprocessed\factorial\4_factorial.py,factorial,1,0.1639,0.6957,0.6957
dataset_preprocessed\factorial\2_factorial.py,dataset_preprocessed\factorial\5_factorial.py,factorial,1,0.0968,0.6364,0.6364
dataset_preprocessed\factorial\2_factorial.py,dataset_preprocessed\factorial\6_factorial.py,factorial,1,0.0882,0.5833,0.5833
dataset_preprocessed\factorial\3_factorial.py,dataset_preprocessed\factorial\4_factorial.py,factorial,1,0.3654,0.7097,0.7097
dataset_preprocessed\factorial\3_factorial.py,dataset_preprocessed\factorial\5_factorial.py,factorial,1,0.3333,0.8315,0.8315
dataset_preprocessed\factorial\3_factorial.py,dataset_preprocessed\factorial\6_factorial.py,factorial,1,0.1935,0.8454,0.8454
dataset_preprocessed\factorial\4_factorial.py,dataset_preprocessed\factorial\5_factorial.py,factorial,1,0.6829,0.9318,0.9318
dataset_preprocessed\factorial\4_factorial.py,dataset_preprocessed\factorial\6_factorial.py,factorial,1,0.2931,0.8125,0.8125
