file_a,file_b,problem_id,is_plagiarized,jaccard,winnow,structural,embedding,label_used,composite,flagged,verdict
dataset\binarySearch\1_binarySearch.py,dataset\binarySearch\2_binarySearch.py,binarySearch,0,0.2135,0.1786,0.7388,0.9938,0,0.458,0,NOT PLAGIARIZED
dataset\binarySearch\1_binarySearch.py,dataset\binarySearch\3_binarySearch.py,binarySearch,0,0.1195,0.1061,0.5728,0.9738,0,0.2646,0,NOT PLAGIARIZED
dataset\binarySearch\1_binarySearch.py,dataset\binarySearch\4_binarySearch.py,binarySearch,1,0.5873,0.5455,0.8729,0.9969,1,0.7142,1,PLAGIARIZED
dataset\binarySearch\1_binarySearch.py,dataset\binarySearch\5_binarySearch.py,binarySearch,1,0.4812,0.4909,0.8681,0.9968,1,0.6884,1,PLAGIARIZED
dataset\binarySearch\1_binarySearch.py,dataset\binarySearch\6_binarySearch.py,binarySearch,1,0.1573,0.1528,0.8871,0.9987,1,0.5713,1,PLAGIARIZED
dataset\binarySearch\2_binarySearch.py,dataset\binarySearch\3_binarySearch.py,binarySearch,0,0.0936,0.0833,0.5234,0.984,0,0.2354,0,NOT PLAGIARIZED
dataset\binarySearch\2_binarySearch.py,dataset\binarySearch\4_binarySearch.py,binarySearch,1,0.1676,0.1538,0.6148,0.9916,0,0.348,0,NOT PLAGIARIZED
dataset\binarySearch\2_binarySearch.py,dataset\binarySearch\5_binarySearch.py,binarySearch,1,0.0957,0.0875,0.6091,0.9912,0,0.3164,0,NOT PLAGIARIZED
dataset\binarySearch\2_binarySearch.py,dataset\binarySearch\6_binarySearch.py,binarySearch,1,0.0437,0.0353,0.6328,0.9908,0,0.3131,0,NOT PLAGIARIZED
dataset\binarySearch\3_binarySearch.py,dataset\binarySearch\4_binarySearch.py,binarySearch,1,0.1407,0.1228,0.5495,0.9806,0,0.2654,0,NOT PLAGIARIZED
dataset\binarySearch\3_binarySearch.py,dataset\binarySearch\5_binarySearch.py,binarySearch,1,0.0486,0.0517,0.5414,0.9803,0,0.2301,0,NOT PLAGIARIZED
dataset\binarySearch\3_binarySearch.py,dataset\binarySearch\6_binarySearch.py,binarySearch,1,0.039,0.0508,0.5876,0.9722,0,0.2511,0,NOT PLAGIARIZED
dataset\binarySearch\4_binarySearch.py,dataset\binarySearch\5_binarySearch.py,binarySearch,1,0.5727,0.5208,0.9953,0.9998,1,0.8043,1,PLAGIARIZED
dataset\binarySearch\4_binarySearch.py,dataset\binarySearch\6_binarySearch.py,binarySearch,1,0.1818,0.1746,0.9107,0.9977,1,0.5965,1,PLAGIARIZED
dataset\binarySearch\5_binarySearch.py,dataset\binarySearch\6_binarySearch.py,binarySearch,1,0.1854,0.1833,0.9148,0.9979,1,0.6035,1,PLAGIARIZED
dataset\bubblesort\1_bubblesort.py,dataset\bubblesort\2_bubble_sort.py,bubblesort,0,0.4191,0.4783,0.9053,0.9949,0,0.7088,1,PLAGIARIZED
dataset\bubblesort\1_bubblesort.py,dataset\bubblesort\3_bubble_sort.py,bubblesort,0,0.4286,0.4,0.8675,0.9948,0,0.648,1,PLAGIARIZED
dataset\bubblesort\1_bubblesort.py,dataset\bubblesort\4_sort_selection.py,bubblesort,1,0.2517,0.1964,0.8448,0.9981,0,0.5549,1,PLAGIARIZED
dataset\bubblesort\1_bubblesort.py,dataset\bubblesort\5_bubble_sort.py,bubblesort,1,0.2961,0.3208,0.9113,0.9942,1,0.6492,1,PLAGIARIZED
dataset\bubblesort\1_bubblesort.py,dataset\bubblesort\6_bubble_sort.py,bubblesort,1,0.2208,0.2143,0.8099,0.9944,0,0.5284,1,PLAGIARIZED
dataset\bubblesort\2_bubble_sort.py,dataset\bubblesort\3_bubble_sort.py,bubblesort,0,0.2194,0.2281,0.784,0.9954,0,0.5156,1,PLAGIARIZED
dataset\bubblesort\2_bubble_sort.py,dataset\bubblesort\4_sort_selection.py,bubblesort,1,0.2368,0.1964,0.7554,0.9956,0,0.4811,0,NOT PLAGIARIZED
dataset\bubblesort\2_bubble_sort.py,dataset\bubblesort\5_bubble_sort.py,bubblesort,1,0.3154,0.25,0.8273,0.9963,0,0.5596,1,PLAGIARIZED
dataset\bubblesort\2_bubble_sort.py,dataset\bubblesort\6_bubble_sort.py,bubblesort,1,0.5081,0.4783,0.9053,0.9993,1,0.7167,1,PLAGIARIZED
dataset\bubblesort\3_bubble_sort.py,dataset\bubblesort\4_sort_selection.py,bubblesort,1,0.2013,0.15,0.795,0.9967,0,0.4952,0,NOT PLAGIARIZED
dataset\bubblesort\3_bubble_sort.py,dataset\bubblesort\5_bubble_sort.py,bubblesort,1,0.184,0.1803,0.8941,0.9986,0,0.5876,1,PLAGIARIZED
dataset\bubblesort\3_bubble_sort.py,dataset\bubblesort\6_bubble_sort.py,bubblesort,1,0.122,0.129,0.747,0.9955,0,0.4475,0,NOT PLAGIARIZED
dataset\bubblesort\4_sort_selection.py,dataset\bubblesort\5_bubble_sort.py,bubblesort,1,0.2715,0.2105,0.8487,0.9964,0,0.5605,1,PLAGIARIZED
dataset\bubblesort\4_sort_selection.py,dataset\bubblesort\6_bubble_sort.py,bubblesort,1,0.1024,0.0984,0.7155,0.9957,0,0.4112,0,NOT PLAGIARIZED
dataset\bubblesort\5_bubble_sort.py,dataset\bubblesort\6_bubble_sort.py,bubblesort,1,0.1437,0.1111,0.7984,0.9965,0,0.482,0,NOT PLAGIARIZED
dataset\factorial\1_factorial.py,dataset\factorial\2_factorial.py,factorial,0,0.0938,0.0333,0.6957,0.9972,0,0.3725,0,NOT PLAGIARIZED
dataset\factorial\1_factorial.py,dataset\factorial\3_factorial.py,factorial,0,0.2778,0.1739,0.7097,0.9968,0,0.4389,0,NOT PLAGIARIZED
dataset\factorial\1_factorial.py,dataset\factorial\4_factorial.py,factorial,1,1.0,1.0,1.0,1.0,1,1.0,1,PLAGIARIZED
dataset\factorial\1_factorial.py,dataset\factorial\5_factorial.py,factorial,1,0.5111,0.4444,0.9318,0.9991,1,0.7233,1,PLAGIARIZED
dataset\factorial\1_factorial.py,dataset\factorial\6_factorial.py,factorial,1,0.1935,0.1818,0.8125,0.9977,1,0.5233,1,PLAGIARIZED
dataset\factorial\2_factorial.py,dataset\factorial\3_factorial.py,factorial,0,0.0984,0.0345,0.6022,0.9944,0,0.2955,0,NOT PLAGIARIZED
dataset\factorial\2_factorial.py,dataset\factorial\4_factorial.py,factorial,1,0.0938,0.0333,0.6957,0.9972,0,0.3725,0,NOT PLAGIARIZED
dataset\factorial\2_factorial.py,dataset\factorial\5_factorial.py,factorial,1,0.0312,0.0,0.6364,0.9965,0,0.312,0,NOT PLAGIARIZED
dataset\factorial\2_factorial.py,dataset\factorial\6_factorial.py,factorial,1,0.0286,0.0,0.5833,0.9947,0,0.2676,0,NOT PLAGIARIZED
dataset\factorial\3_factorial.py,dataset\factorial\4_factorial.py,factorial,1,0.2778,0.1739,0.7097,0.9968,0,0.4389,0,NOT PLAGIARIZED
dataset\factorial\3_factorial.py,dataset\factorial\5_factorial.py,factorial,1,0.1607,0.087,0.8315,0.9963,0,0.4976,0,NOT PLAGIARIZED
dataset\factorial\3_factorial.py,dataset\factorial\6_factorial.py,factorial,1,0.1094,0.0417,0.8454,0.9971,0,0.4917,0,NOT PLAGIARIZED
dataset\factorial\4_factorial.py,dataset\factorial\5_factorial.py,factorial,1,0.5111,0.4444,0.9318,0.9991,1,0.7233,1,PLAGIARIZED
dataset\factorial\4_factorial.py,dataset\factorial\6_factorial.py,factorial,1,0.1935,0.1818,0.8125,0.9977,1,0.5233,1,PLAGIARIZED
dataset\factorial\5_factorial.py,dataset\factorial\6_factorial.py,factorial,1,0.2727,0.2632,0.913,0.9978,1,0.6339,1,PLAGIARIZED
dataset\fibonacci\1_fibonacci.py,dataset\fibonacci\2_fibonacci.py,fibonacci,0,0.0208,0.0,0.4426,0.9937,0,0.1568,0,NOT PLAGIARIZED
dataset\fibonacci\1_fibonacci.py,dataset\fibonacci\3_fibonacci.py,fibonacci,0,0.04,0.027,0.6029,0.9905,0,0.2861,0,NOT PLAGIARIZED
dataset\fibonacci\1_fibonacci.py,dataset\fibonacci\4_fibonacci.py,fibonacci,1,0.629,0.6087,0.9925,0.9994,1,0.8366,1,PLAGIARIZED
dataset\fibonacci\1_fibonacci.py,dataset\fibonacci\5_fibonacci.py,fibonacci,1,0.1685,0.1176,0.8392,0.9942,1,0.5121,1,PLAGIARIZED
dataset\fibonacci\1_fibonacci.py,dataset\fibonacci\6_fibonacci.py,fibonacci,1,0.4079,0.3226,0.9362,0.9988,1,0.6775,1,PLAGIARIZED
dataset\fibonacci\2_fibonacci.py,dataset\fibonacci\3_fibonacci.py,fibonacci,0,0.0208,0.0,0.3548,0.9914,0,0.0846,0,NOT PLAGIARIZED
dataset\fibonacci\2_fibonacci.py,dataset\fibonacci\4_fibonacci.py,fibonacci,1,0.0215,0.0,0.4463,0.994,0,0.1602,0,NOT PLAGIARIZED
dataset\fibonacci\2_fibonacci.py,dataset\fibonacci\5_fibonacci.py,fibonacci,1,0.0208,0.0,0.3969,0.9837,0,0.1035,0,NOT PLAGIARIZED
dataset\fibonacci\2_fibonacci.py,dataset\fibonacci\6_fibonacci.py,fibonacci,1,0.0202,0.0,0.4186,0.9912,0,0.1337,0,NOT PLAGIARIZED
dataset\fibonacci\3_fibonacci.py,dataset\fibonacci\4_fibonacci.py,fibonacci,1,0.0632,0.0571,0.5926,0.9922,0,0.2932,0,NOT PLAGIARIZED
dataset\fibonacci\3_fibonacci.py,dataset\fibonacci\5_fibonacci.py,fibonacci,1,0.0612,0.027,0.5793,0.9864,0,0.2605,0,NOT PLAGIARIZED
dataset\fibonacci\3_fibonacci.py,dataset\fibonacci\6_fibonacci.py,fibonacci,1,0.0594,0.0513,0.5594,0.987,0,0.2559,0,NOT PLAGIARIZED
dataset\fibonacci\4_fibonacci.py,dataset\fibonacci\5_fibonacci.py,fibonacci,1,0.2024,0.1212,0.8451,0.9937,1,0.5172,1,PLAGIARIZED
dataset\fibonacci\4_fibonacci.py,dataset\fibonacci\6_fibonacci.py,fibonacci,1,0.4648,0.3793,0.9429,0.9981,1,0.7041,1,PLAGIARIZED
dataset\fibonacci\5_fibonacci.py,dataset\fibonacci\6_fibonacci.py,fibonacci,1,0.2159,0.1389,0.8667,0.9955,1,0.5442,1,PLAGIARIZED
dataset\matrixMultiply\1_matrixMultiply.py,dataset\matrixMultiply\2_matrixMultiply.py,matrixMultiply,0,0.12,0.1205,0.5781,0.9717,0,0.2707,0,NOT PLAGIARIZED
dataset\matrixMultiply\1_matrixMultiply.py,dataset\matrixMultiply\3_matrixMultiply.py,matrixMultiply,0,0.1524,0.1538,0.7166,0.9863,0,0.4174,0,NOT PLAGIARIZED
dataset\matrixMultiply\1_matrixMultiply.py,dataset\matrixMultiply\4_matrixMultiply.py,matrixMultiply,1,0.5965,0.5541,0.972,0.9997,1,0.7994,1,PLAGIARIZED
dataset\matrixMultiply\1_matrixMultiply.py,dataset\matrixMultiply\5_matrixMultiply.py,matrixMultiply,1,0.3831,0.3448,0.7861,0.991,1,0.5561,1,PLAGIARIZED
dataset\matrixMultiply\1_matrixMultiply.py,dataset\matrixMultiply\6_matrixMultiply.py,matrixMultiply,1,0.2328,0.2178,0.8596,0.99,1,0.5605,1,PLAGIARIZED
