file_a,file_b,problem_id,is_plagiarized,embedding
dataset\binarySearch\1_binarySearch.py,dataset\binarySearch\2_binarySearch.py,binarySearch,0,0.9938
dataset\binarySearch\1_binarySearch.py,dataset\binarySearch\3_binarySearch.py,binarySearch,0,0.9738
dataset\binarySearch\1_binarySearch.py,dataset\binarySearch\4_binarySearch.py,binarySearch,1,0.9969
dataset\binarySearch\1_binarySearch.py,dataset\binarySearch\5_binarySearch.py,binarySearch,1,0.9968
dataset\binarySearch\1_binarySearch.py,dataset\binarySearch\6_binarySearch.py,binarySearch,1,0.9987
dataset\binarySearch\2_binarySearch.py,dataset\binarySearch\3_binarySearch.py,binarySearch,0,0.984
dataset\binarySearch\2_binarySearch.py,dataset\binarySearch\4_binarySearch.py,binarySearch,1,0.9916
dataset\binarySearch\2_binarySearch.py,dataset\binarySearch\5_binarySearch.py,binarySearch,1,0.9912
dataset\binarySearch\2_binarySearch.py,dataset\binarySearch\6_binarySearch.py,binarySearch,1,0.9908
dataset\binarySearch\3_binarySearch.py,dataset\binarySearch\4_binarySearch.py,binarySearch,1,0.9806
dataset\binarySearch\3_binarySearch.py,dataset\binarySearch\5_binarySearch.py,binarySearch,1,0.9803
dataset\binarySearch\3_binarySearch.py,dataset\binarySearch\6_binarySearch.py,binarySearch,1,0.9722
dataset\binarySearch\4_binarySearch.py,dataset\binarySearch\5_binarySearch.py,binarySearch,1,0.9998
dataset\binarySearch\4_binarySearch.py,dataset\binarySearch\6_binarySearch.py,binarySearch,1,0.9977
dataset\binarySearch\5_binarySearch.py,dataset\binarySearch\6_binarySearch.py,binarySearch,1,0.9979
dataset\bubblesort\1_bubblesort.py,dataset\bubblesort\2_bubble_sort.py,bubblesort,0,0.9949
dataset\bubblesort\1_bubblesort.py,dataset\bubblesort\3_bubble_sort.py,bubblesort,0,0.9948
dataset\bubblesort\1_bubblesort.py,dataset\bubblesort\4_sort_selection.py,bubblesort,1,0.9981
dataset\bubblesort\1_bubblesort.py,dataset\bubblesort\5_bubble_sort.py,bubblesort,1,0.9942
dataset\bubblesort\1_bubblesort.py,dataset\bubblesort\6_bubble_sort.py,bubblesort,1,0.9944
dataset\bubblesort\2_bubble_sort.py,dataset\bubblesort\3_bubble_sort.py,bubblesort,0,0.9954
dataset\bubblesort\2_bubble_sort.py,dataset\bubblesort\4_sort_selection.py,bubblesort,1,0.9956
dataset\bubblesort\2_bubble_sort.py,dataset\bubblesort\5_bubble_sort.py,bubblesort,1,0.9963
dataset\bubblesort\2_bubble_sort.py,dataset\bubblesort\6_bubble_sort.py,bubblesort,1,0.9993
dataset\bubblesort\3_bubble_sort.py,dataset\bubblesort\4_sort_selection.py,bubblesort,1,0.9967
dataset\bubblesort\3_bubble_sort.py,dataset\bubblesort\5_bubble_sort.py,bubblesort,1,0.9986
dataset\bubblesort\3_bubble_sort.py,dataset\bubblesort\6_bubble_sort.py,bubblesort,1,0.9955
dataset\bubblesort\4_sort_selection.py,dataset\bubblesort\5_bubble_sort.py,bubblesort,1,0.9964
dataset\bubblesort\4_sort_selection.py,dataset\bubblesort\6_bubble_sort.py,bubblesort,1,0.9957
dataset\bubblesort\5_bubble_sort.py,dataset\bubblesort\6_bubble_sort.py,bubblesort,1,0.9965
dataset\factorial\1_factorial.py,dataset\factorial\2_factorial.py,factorial,0,0.9972
dataset\factorial\1_factorial.py,dataset\factorial\3_factorial.py,factorial,0,0.9968
