file_a,file_b,problem_id,is_plagiarized,embedding
dataset\binarySearch\1_binarySearch.py,dataset\binarySearch\2_binarySearch.py,binarySearch,0,0.9908
dataset\binarySearch\1_binarySearch.py,dataset\binarySearch\3_binarySearch.py,binarySearch,0,0.9731
dataset\binarySearch\1_binarySearch.py,dataset\binarySearch\4_binarySearch.py,binarySearch,1,0.9976
dataset\binarySearch\1_binarySearch.py,dataset\binarySearch\5_binarySearch.py,binarySearch,1,0.996
dataset\binarySearch\1_binarySearch.py,dataset\binarySearch\6_binarySearch.py,binarySearch,1,0.9979
dataset\binarySearch\2_binarySearch.py,dataset\binarySearch\3_binarySearch.py,binarySearch,0,0.9865
dataset\binarySearch\2_binarySearch.py,dataset\binarySearch\4_binarySearch.py,binarySearch,1,0.9888
dataset\binarySearch\2_binarySearch.py,dataset\binarySearch\5_binarySearch.py,binarySearch,1,0.9869
dataset\binarySearch\2_binarySearch.py,dataset\binarySearch\6_binarySearch.py,binarySearch,1,0.9863
dataset\binarySearch\3_binarySearch.py,dataset\binarySearch\4_binarySearch.py,binarySearch,1,0.9771
dataset\binarySearch\3_binarySearch.py,dataset\binarySearch\5_binarySearch.py,binarySearch,1,0.9758
dataset\binarySearch\3_binarySearch.py,dataset\binarySearch\6_binarySearch.py,binarySearch,1,0.9691
dataset\binarySearch\4_binarySearch.py,dataset\binarySearch\5_binarySearch.py,binarySearch,1,0.9988
dataset\binarySearch\4_binarySearch.py,dataset\binarySearch\6_binarySearch.py,binarySearch,1,0.9978
dataset\binarySearch\5_binarySearch.py,dataset\binarySearch\6_binarySearch.py,binarySearch,1,0.9973
dataset\bubblesort\1_bubblesort.py,dataset\bubblesort\2_bubble_sort.py,bubblesort,0,0.9922
dataset\bubblesort\1_bubblesort.py,dataset\bubblesort\3_bubble_sort.py,bubblesort,0,0.9923
dataset\bubblesort\1_bubblesort.py,dataset\bubblesort\4_sort_selection.py,bubblesort,1,0.9973
dataset\bubblesort\1_bubblesort.py,dataset\bubblesort\5_bubble_sort.py,bubblesort,1,0.9914
dataset\bubblesort\1_bubblesort.py,dataset\bubblesort\6_bubble_sort.py,bubblesort,1,0.9922
dataset\bubblesort\2_bubble_sort.py,dataset\bubblesort\3_bubble_sort.py,bubblesort,0,0.9946
dataset\bubblesort\2_bubble_sort.py,dataset\bubblesort\4_sort_selection.py,bubblesort,1,0.9941
dataset\bubblesort\2_bubble_sort.py,dataset\bubblesort\5_bubble_sort.py,bubblesort,1,0.9975
dataset\bubblesort\2_bubble_sort.py,dataset\bubblesort\6_bubble_sort.py,bubblesort,1,0.9987
dataset\bubblesort\3_bubble_sort.py,dataset\bubblesort\4_sort_selection.py,bubblesort,1,0.9961
dataset\bubblesort\3_bubble_sort.py,dataset\bubblesort\5_bubble_sort.py,bubblesort,1,0.997
dataset\bubblesort\3_bubble_sort.py,dataset\bubblesort\6_bubble_sort.py,bubblesort,1,0.995
dataset\bubblesort\4_sort_selection.py,dataset\bubblesort\5_bubble_sort.py,bubblesort,1,0.9954
dataset\bubblesort\4_sort_selection.py,dataset\bubblesort\6_bubble_sort.py,bubblesort,1,0.9949
dataset\bubblesort\5_bubble_sort.py,dataset\bubblesort\6_bubble_sort.py,bubblesort,1,0.9974
dataset\factorial\1_factorial.py,dataset\factorial\2_factorial.py,factorial,0,0.9945
dataset\factorial\1_factorial.py,dataset\factorial\3_factorial.py,factorial,0,0.9962
dataset\factorial\1_factorial.py,dataset\factorial\4_factorial.py,factorial,1,0.9991
dataset\factorial\1_factorial.py,dataset\factorial\5_factorial.py,factorial,1,0.9964
dataset\factorial\1_factorial.py,dataset\factorial\6_factorial.py,factorial,1,0.9974
dataset\factorial\2_factorial.py,dataset\factorial\3_factorial.py,factorial,0,0.9932
dataset\factorial\2_factorial.py,dataset\factorial\4_factorial.py,factorial,1,0.9946
dataset\factorial\2_factorial.py,dataset\factorial\5_factorial.py,factorial,1,0.9946
dataset\factorial\2_factorial.py,dataset\factorial\6_factorial.py,factorial,1,0.991
dataset\factorial\3_factorial.py,dataset\factorial\4_factorial.py,factorial,1,0.9957
dataset\factorial\3_factorial.py,dataset\factorial\5_factorial.py,factorial,1,0.9937
dataset\factorial\3_factorial.py,dataset\factorial\6_factorial.py,factorial,1,0.9959
dataset\factorial\4_factorial.py,dataset\factorial\5_factorial.py,factorial,1,0.9967
dataset\factorial\4_factorial.py,dataset\factorial\6_factorial.py,factorial,1,0.9968
dataset\factorial\5_factorial.py,dataset\factorial\6_factorial.py,factorial,1,0.9954
dataset\fibonacci\1_fibonacci.py,dataset\fibonacci\2_fibonacci.py,fibonacci,0,0.9942
dataset\fibonacci\1_fibonacci.py,dataset\fibonacci\3_fibonacci.py,fibonacci,0,0.987
dataset\fibonacci\1_fibonacci.py,dataset\fibonacci\4_fibonacci.py,fibonacci,1,0.9972
dataset\fibonacci\1_fibonacci.py,dataset\fibonacci\5_fibonacci.py,fibonacci,1,0.9917
dataset\fibonacci\1_fibonacci.py,dataset\fibonacci\6_fibonacci.py,fibonacci,1,0.9976
dataset\fibonacci\2_fibonacci.py,dataset\fibonacci\3_fibonacci.py,fibonacci,0,0.9847
dataset\fibonacci\2_fibonacci.py,dataset\fibonacci\4_fibonacci.py,fibonacci,1,0.9941
dataset\fibonacci\2_fibonacci.py,dataset\fibonacci\5_fibonacci.py,fibonacci,1,0.9829
dataset\fibonacci\2_fibonacci.py,dataset\fibonacci\6_fibonacci.py,fibonacci,1,0.9926
dataset\fibonacci\3_fibonacci.py,dataset\fibonacci\4_fibonacci.py,fibonacci,1,0.9878
dataset\fibonacci\3_fibonacci.py,dataset\fibonacci\5_fibonacci.py,fibonacci,1,0.9835
dataset\fibonacci\3_fibonacci.py,dataset\fibonacci\6_fibonacci.py,fibonacci,1,0.984
dataset\fibonacci\4_fibonacci.py,dataset\fibonacci\5_fibonacci.py,fibonacci,1,0.9895
dataset\fibonacci\4_fibonacci.py,dataset\fibonacci\6_fibonacci.py,fibonacci,1,0.996
dataset\fibonacci\5_fibonacci.py,dataset\fibonacci\6_fibonacci.py,fibonacci,1,0.9936
dataset\matrixMultiply\1_matrixMultiply.py,dataset\matrixMultiply\2_matrixMultiply.py,matrixMultiply,0,0.9917
