file_a,file_b,problem_id,is_plagiarized,embedding
dataset\binarySearch\1_binarySearch.py,dataset\binarySearch\2_binarySearch.py,binarySearch,0,0.749
dataset\binarySearch\1_binarySearch.py,dataset\binarySearch\3_binarySearch.py,binarySearch,0,0.5387
dataset\binarySearch\1_binarySearch.py,dataset\binarySearch\4_binarySearch.py,binarySearch,1,0.8116
dataset\binarySearch\1_binarySearch.py,dataset\binarySearch\5_binarySearch.py,binarySearch,1,0.7393
dataset\binarySearch\1_binarySearch.py,dataset\binarySearch\6_binarySearch.py,binarySearch,1,0.5429
dataset\binarySearch\2_binarySearch.py,dataset\binarySearch\3_binarySearch.py,binarySearch,0,0.5469
dataset\binarySearch\2_binarySearch.py,dataset\binarySearch\4_binarySearch.py,binarySearch,1,0.6399
dataset\binarySearch\2_binarySearch.py,dataset\binarySearch\5_binarySearch.py,binarySearch,1,0.5742
dataset\binarySearch\2_binarySearch.py,dataset\binarySearch\6_binarySearch.py,binarySearch,1,0.4471
dataset\binarySearch\3_binarySearch.py,dataset\binarySearch\4_binarySearch.py,binarySearch,1,0.5861
dataset\binarySearch\3_binarySearch.py,dataset\binarySearch\5_binarySearch.py,binarySearch,1,0.4537
dataset\binarySearch\3_binarySearch.py,dataset\binarySearch\6_binarySearch.py,binarySearch,1,0.3802
dataset\binarySearch\4_binarySearch.py,dataset\binarySearch\5_binarySearch.py,binarySearch,1,0.8312
dataset\binarySearch\4_binarySearch.py,dataset\binarySearch\6_binarySearch.py,binarySearch,1,0.5691
dataset\binarySearch\5_binarySearch.py,dataset\binarySearch\6_binarySearch.py,binarySearch,1,0.5938
dataset\bubblesort\1_bubblesort.py,dataset\bubblesort\2_bubble_sort.py,bubblesort,0,0.9146
dataset\bubblesort\1_bubblesort.py,dataset\bubblesort\3_bubble_sort.py,bubblesort,0,0.8433
dataset\bubblesort\1_bubblesort.py,dataset\bubblesort\4_sort_selection.py,bubblesort,1,0.7728
dataset\bubblesort\1_bubblesort.py,dataset\bubblesort\5_bubble_sort.py,bubblesort,1,0.6799
dataset\bubblesort\1_bubblesort.py,dataset\bubblesort\6_bubble_sort.py,bubblesort,1,0.7853
dataset\bubblesort\2_bubble_sort.py,dataset\bubblesort\3_bubble_sort.py,bubblesort,0,0.7941
dataset\bubblesort\2_bubble_sort.py,dataset\bubblesort\4_sort_selection.py,bubblesort,1,0.7528
dataset\bubblesort\2_bubble_sort.py,dataset\bubblesort\5_bubble_sort.py,bubblesort,1,0.6609
dataset\bubblesort\2_bubble_sort.py,dataset\bubblesort\6_bubble_sort.py,bubblesort,1,0.8652
dataset\bubblesort\3_bubble_sort.py,dataset\bubblesort\4_sort_selection.py,bubblesort,1,0.7287
dataset\bubblesort\3_bubble_sort.py,dataset\bubblesort\5_bubble_sort.py,bubblesort,1,0.594
dataset\bubblesort\3_bubble_sort.py,dataset\bubblesort\6_bubble_sort.py,bubblesort,1,0.721
dataset\bubblesort\4_sort_selection.py,dataset\bubblesort\5_bubble_sort.py,bubblesort,1,0.7191
dataset\bubblesort\4_sort_selection.py,dataset\bubblesort\6_bubble_sort.py,bubblesort,1,0.6332
dataset\bubblesort\5_bubble_sort.py,dataset\bubblesort\6_bubble_sort.py,bubblesort,1,0.5512
dataset\factorial\1_factorial.py,dataset\factorial\2_factorial.py,factorial,0,0.5181
dataset\factorial\1_factorial.py,dataset\factorial\3_factorial.py,factorial,0,0.6599
dataset\factorial\1_factorial.py,dataset\factorial\4_factorial.py,factorial,1,1.0
dataset\factorial\1_factorial.py,dataset\factorial\5_factorial.py,factorial,1,0.8411
dataset\factorial\1_factorial.py,dataset\factorial\6_factorial.py,factorial,1,0.5663
dataset\factorial\2_factorial.py,dataset\factorial\3_factorial.py,factorial,0,0.5063
dataset\factorial\2_factorial.py,dataset\factorial\4_factorial.py,factorial,1,0.5181
dataset\factorial\2_factorial.py,dataset\factorial\5_factorial.py,factorial,1,0.3924
dataset\factorial\2_factorial.py,dataset\factorial\6_factorial.py,factorial,1,0.3481
dataset\factorial\3_factorial.py,dataset\factorial\4_factorial.py,factorial,1,0.6599
dataset\factorial\3_factorial.py,dataset\factorial\5_factorial.py,factorial,1,0.5928
dataset\factorial\3_factorial.py,dataset\factorial\6_factorial.py,factorial,1,0.4662
dataset\factorial\4_factorial.py,dataset\factorial\5_factorial.py,factorial,1,0.8411
dataset\factorial\4_factorial.py,dataset\factorial\6_factorial.py,factorial,1,0.5663
dataset\factorial\5_factorial.py,dataset\factorial\6_factorial.py,factorial,1,0.6433
dataset\fibonacci\1_fibonacci.py,dataset\fibonacci\2_fibonacci.py,fibonacci,0,0.4141
dataset\fibonacci\1_fibonacci.py,dataset\fibonacci\3_fibonacci.py,fibonacci,0,0.4013
dataset\fibonacci\1_fibonacci.py,dataset\fibonacci\4_fibonacci.py,fibonacci,1,0.8317
dataset\fibonacci\1_fibonacci.py,dataset\fibonacci\5_fibonacci.py,fibonacci,1,0.5378
dataset\fibonacci\1_fibonacci.py,dataset\fibonacci\6_fibonacci.py,fibonacci,1,0.6681
dataset\fibonacci\2_fibonacci.py,dataset\fibonacci\3_fibonacci.py,fibonacci,0,0.3312
dataset\fibonacci\2_fibonacci.py,dataset\fibonacci\4_fibonacci.py,fibonacci,1,0.4246
dataset\fibonacci\2_fibonacci.py,dataset\fibonacci\5_fibonacci.py,fibonacci,1,0.2988
dataset\fibonacci\2_fibonacci.py,dataset\fibonacci\6_fibonacci.py,fibonacci,1,0.3838
dataset\fibonacci\3_fibonacci.py,dataset\fibonacci\4_fibonacci.py,fibonacci,1,0.4379
dataset\fibonacci\3_fibonacci.py,dataset\fibonacci\5_fibonacci.py,fibonacci,1,0.3867
dataset\fibonacci\3_fibonacci.py,dataset\fibonacci\6_fibonacci.py,fibonacci,1,0.3642
dataset\fibonacci\4_fibonacci.py,dataset\fibonacci\5_fibonacci.py,fibonacci,1,0.6199
dataset\fibonacci\4_fibonacci.py,dataset\fibonacci\6_fibonacci.py,fibonacci,1,0.7322
dataset\fibonacci\5_fibonacci.py,dataset\fibonacci\6_fibonacci.py,fibonacci,1,0.5799
dataset\matrixMultiply\1_matrixMultiply.py,dataset\matrixMultiply\2_matrixMultiply.py,matrixMultiply,0,0.5909
dataset\matrixMultiply\1_matrixMultiply.py,dataset\matrixMultiply\3_matrixMultiply.py,matrixMultiply,0,0.6358
dataset\matrixMultiply\1_matrixMultiply.py,dataset\matrixMultiply\4_matrixMultiply.py,matrixMultiply,1,0.909
dataset\matrixMultiply\1_matrixMultiply.py,dataset\matrixMultiply\5_matrixMultiply.py,matrixMultiply,1,0.8089
dataset\matrixMultiply\1_matrixMultiply.py,dataset\matrixMultiply\6_matrixMultiply.py,matrixMultiply,1,0.7222
dataset\matrixMultiply\2_matrixMultiply.py,dataset\matrixMultiply\3_matrixMultiply.py,matrixMultiply,0,0.5499
dataset\matrixMultiply\2_matrixMultiply.py,dataset\matrixMultiply\4_matrixMultiply.py,matrixMultiply,1,0.5743
dataset\matrixMultiply\2_matrixMultiply.py,dataset\matrixMultiply\5_matrixMultiply.py,matrixMultiply,1,0.528
dataset\matrixMultiply\2_matrixMultiply.py,dataset\matrixMultiply\6_matrixMultiply.py,matrixMultiply,1,0.4862
dataset\matrixMultiply\3_matrixMultiply.py,dataset\matrixMultiply\4_matrixMultiply.py,matrixMultiply,1,0.6054
dataset\matrixMultiply\3_matrixMultiply.py,dataset\matrixMultiply\5_matrixMultiply.py,matrixMultiply,1,0.6059
dataset\matrixMultiply\3_matrixMultiply.py,dataset\matrixMultiply\6_matrixMultiply.py,matrixMultiply,1,0.5537
dataset\matrixMultiply\4_matrixMultiply.py,dataset\matrixMultiply\5_matrixMultiply.py,matrixMultiply,1,0.7945
