file_a,file_b,problem_id,is_plagiarized,jaccard,winnow,structural,embedding,label_used,composite,flagged
dataset\binarySearch\1_binarySearch.py,dataset\binarySearch\2_binarySearch.py,binarySearch,0,0.2135,0.1786,0.7388,0.9908,0,0.4304,0
dataset\binarySearch\1_binarySearch.py,dataset\binarySearch\3_binarySearch.py,binarySearch,0,0.1195,0.1061,0.5728,0.9731,0,0.2447,0
dataset\binarySearch\1_binarySearch.py,dataset\binarySearch\4_binarySearch.py,binarySearch,1,0.5873,0.5455,0.8729,0.9976,1,0.7033,1
dataset\binarySearch\1_binarySearch.py,dataset\binarySearch\5_binarySearch.py,binarySearch,1,0.4812,0.4909,0.8681,0.996,1,0.6717,1
dataset\binarySearch\1_binarySearch.py,dataset\binarySearch\6_binarySearch.py,binarySearch,1,0.1573,0.1528,0.8871,0.9979,1,0.5548,1
dataset\binarySearch\2_binarySearch.py,dataset\binarySearch\3_binarySearch.py,binarySearch,0,0.0936,0.0833,0.5234,0.9865,0,0.1893,0
dataset\binarySearch\2_binarySearch.py,dataset\binarySearch\4_binarySearch.py,binarySearch,1,0.1676,0.1538,0.6148,0.9888,0,0.303,0
dataset\binarySearch\2_binarySearch.py,dataset\binarySearch\5_binarySearch.py,binarySearch,1,0.0957,0.0875,0.6091,0.9869,0,0.2704,0
dataset\binarySearch\2_binarySearch.py,dataset\binarySearch\6_binarySearch.py,binarySearch,1,0.0437,0.0353,0.6328,0.9863,0,0.2715,0
dataset\binarySearch\3_binarySearch.py,dataset\binarySearch\4_binarySearch.py,binarySearch,1,0.1407,0.1228,0.5495,0.9771,0,0.2302,0
dataset\binarySearch\3_binarySearch.py,dataset\binarySearch\5_binarySearch.py,binarySearch,1,0.0486,0.0517,0.5414,0.9758,0,0.1919,0
dataset\binarySearch\3_binarySearch.py,dataset\binarySearch\6_binarySearch.py,binarySearch,1,0.039,0.0508,0.5876,0.9691,0,0.2336,0
dataset\binarySearch\4_binarySearch.py,dataset\binarySearch\5_binarySearch.py,binarySearch,1,0.5727,0.5208,0.9953,0.9988,1,0.8083,1
dataset\binarySearch\4_binarySearch.py,dataset\binarySearch\6_binarySearch.py,binarySearch,1,0.1818,0.1746,0.9107,0.9978,1,0.5858,1
dataset\binarySearch\5_binarySearch.py,dataset\binarySearch\6_binarySearch.py,binarySearch,1,0.1854,0.1833,0.9148,0.9973,1,0.5926,1
dataset\bubblesort\1_bubblesort.py,dataset\bubblesort\2_bubble_sort.py,bubblesort,0,0.4191,0.4783,0.9053,0.9922,0,0.6961,1
dataset\bubblesort\1_bubblesort.py,dataset\bubblesort\3_bubble_sort.py,bubblesort,0,0.4286,0.4,0.8675,0.9923,0,0.6385,1
dataset\bubblesort\1_bubblesort.py,dataset\bubblesort\4_sort_selection.py,bubblesort,1,0.2517,0.1964,0.8448,0.9973,0,0.5382,1
dataset\bubblesort\1_bubblesort.py,dataset\bubblesort\5_bubble_sort.py,bubblesort,1,0.2961,0.3208,0.9113,0.9914,1,0.6419,1
dataset\bubblesort\1_bubblesort.py,dataset\bubblesort\6_bubble_sort.py,bubblesort,1,0.2208,0.2143,0.8099,0.9922,0,0.508,1
dataset\bubblesort\2_bubble_sort.py,dataset\bubblesort\3_bubble_sort.py,bubblesort,0,0.2194,0.2281,0.784,0.9946,0,0.4879,0
dataset\bubblesort\2_bubble_sort.py,dataset\bubblesort\4_sort_selection.py,bubblesort,1,0.2368,0.1964,0.7554,0.9941,0,0.4536,0
dataset\bubblesort\2_bubble_sort.py,dataset\bubblesort\5_bubble_sort.py,bubblesort,1,0.3154,0.25,0.8273,0.9975,0,0.5445,1
dataset\bubblesort\2_bubble_sort.py,dataset\bubblesort\6_bubble_sort.py,bubblesort,1,0.5081,0.4783,0.9053,0.9987,1,0.7052,1
