file_a,file_b,problem_id,is_plagiarized,jaccard,winnow
dataset_preprocessed\binarySearch\1_binarySearch.py,dataset_preprocessed\binarySearch\2_binarySearch.py,binarySearch,0,0.2135,0.1786
dataset_preprocessed\binarySearch\1_binarySearch.py,dataset_preprocessed\binarySearch\3_binarySearch.py,binarySearch,0,0.1195,0.1061
dataset_preprocessed\binarySearch\1_binarySearch.py,dataset_preprocessed\binarySearch\4_binarySearch.py,binarySearch,1,0.5873,0.5455
dataset_preprocessed\binarySearch\1_binarySearch.py,dataset_preprocessed\binarySearch\5_binarySearch.py,binarySearch,1,0.4812,0.4909
dataset_preprocessed\binarySearch\1_binarySearch.py,dataset_preprocessed\binarySearch\6_binarySearch.py,binarySearch,1,0.1573,0.1528
dataset_preprocessed\binarySearch\2_binarySearch.py,dataset_preprocessed\binarySearch\3_binarySearch.py,binarySearch,0,0.0936,0.0833
dataset_preprocessed\binarySearch\2_binarySearch.py,dataset_preprocessed\binarySearch\4_binarySearch.py,binarySearch,1,0.1676,0.1538
dataset_preprocessed\binarySearch\2_binarySearch.py,dataset_preprocessed\binarySearch\5_binarySearch.py,binarySearch,1,0.0957,0.0875
dataset_preprocessed\binarySearch\2_binarySearch.py,dataset_preprocessed\binarySearch\6_binarySearch.py,binarySearch,1,0.0437,0.0353
dataset_preprocessed\binarySearch\3_binarySearch.py,dataset_preprocessed\binarySearch\4_binarySearch.py,binarySearch,1,0.1407,0.1228
dataset_preprocessed\binarySearch\3_binarySearch.py,dataset_preprocessed\binarySearch\5_binarySearch.py,binarySearch,1,0.0486,0.0517
dataset_preprocessed\binarySearch\3_binarySearch.py,dataset_preprocessed\binarySearch\6_binarySearch.py,binarySearch,1,0.039,0.0508
dataset_preprocessed\binarySearch\4_binarySearch.py,dataset_preprocessed\binarySearch\5_binarySearch.py,binarySearch,1,0.5727,0.5208
dataset_preprocessed\binarySearch\4_binarySearch.py,dataset_preprocessed\binarySearch\6_binarySearch.py,binarySearch,1,0.1818,0.1746
dataset_preprocessed\binarySearch\5_binarySearch.py,dataset_preprocessed\binarySearch\6_binarySearch.py,binarySearch,1,0.1854,0.1833
dataset_preprocessed\bubblesort\1_bubblesort.py,dataset_preprocessed\bubblesort\2_bubble_sort.py,bubblesort,0,0.4191,0.4783
dataset_preprocessed\bubblesort\1_bubblesort.py,dataset_preprocessed\bubblesort\3_bubble_sort.py,bubblesort,0,0.4286,0.4
dataset_preprocessed\bubblesort\1_bubblesort.py,dataset_preprocessed\bubblesort\4_sort_selection.py,bubblesort,1,0.2517,0.1964
dataset_preprocessed\bubblesort\1_bubblesort.py,dataset_preprocessed\bubblesort\5_bubble_sort.py,bubblesort,1,0.2961,0.3208
dataset_preprocessed\bubblesort\1_bubblesort.py,dataset_preprocessed\bubblesort\6_bubble_sort.py,bubblesort,1,0.2208,0.2143
dataset_preprocessed\bubblesort\2_bubble_sort.py,dataset_preprocessed\bubblesort\3_bubble_sort.py,bubblesort,0,0.2194,0.2281
dataset_preprocessed\bubblesort\2_bubble_sort.py,dataset_preprocessed\bubblesort\4_sort_selection.py,bubblesort,1,0.2368,0.1964
dataset_preprocessed\bubblesort\2_bubble_sort.py,dataset_preprocessed\bubblesort\5_bubble_sort.py,bubblesort,1,0.3154,0.25
dataset_preprocessed\bubblesort\2_bubble_sort.py,dataset_preprocessed\bubblesort\6_bubble_sort.py,bubblesort,1,0.5081,0.4783
dataset_preprocessed\bubblesort\3_bubble_sort.py,dataset_preprocessed\bubblesort\4_sort_selection.py,bubblesort,1,0.2013,0.15
dataset_preprocessed\bubblesort\3_bubble_sort.py,dataset_preprocessed\bubblesort\5_bubble_sort.py,bubblesort,1,0.184,0.1803
dataset_preprocessed\bubblesort\3_bubble_sort.py,dataset_preprocessed\bubblesort\6_bubble_sort.py,bubblesort,1,0.122,0.129
dataset_preprocessed\bubblesort\4_sort_selection.py,dataset_preprocessed\bubblesort\5_bubble_sort.py,bubblesort,1,0.2715,0.2105
dataset_preprocessed\bubblesort\4_sort_selection.py,dataset_preprocessed\bubblesort\6_bubble_sort.py,bubblesort,1,0.1024,0.0984
dataset_preprocessed\bubblesort\5_bubble_sort.py,dataset_preprocessed\bubblesort\6_bubble_sort.py,bubblesort,1,0.1437,0.1111
dataset_preprocessed\factorial\1_factorial.py,dataset_preprocessed\factorial\2_factorial.py,factorial,0,0.0938,0.0333
dataset_preprocessed\factorial\1_factorial.py,dataset_preprocessed\factorial\3_factorial.py,factorial,0,0.2778,0.1739
dataset_preprocessed\factorial\1_factorial.py,dataset_preprocessed\factorial\4_factorial.py,factorial,1,1.0,1.0
dataset_preprocessed\factorial\1_factorial.py,dataset_preprocessed\factorial\5_factorial.py,factorial,1,0.5111,0.4444
dataset_preprocessed\factorial\1_factorial.py,dataset_preprocessed\factorial\6_factorial.py,factorial,1,0.1935,0.1818
dataset_preprocessed\factorial\2_factorial.py,dataset_preprocessed\factorial\3_factorial.py,factorial,0,0.0984,0.0345
dataset_preprocessed\factorial\2_factorial.py,dataset_preprocessed\factorial\4_factorial.py,factorial,1,0.0938,0.0333
dataset_preprocessed\factorial\2_factorial.py,dataset_preprocessed\factorial\5_factorial.py,factorial,1,0.0312,0.0
dataset_preprocessed\factorial\2_factorial.py,dataset_preprocessed\factorial\6_factorial.py,factorial,1,0.0286,0.0
dataset_preprocessed\factorial\3_factorial.py,dataset_preprocessed\factorial\4_factorial.py,factorial,1,0.2778,0.1739
dataset_preprocessed\factorial\3_factorial.py,dataset_preprocessed\factorial\5_factorial.py,factorial,1,0.1607,0.087
dataset_preprocessed\factorial\3_factorial.py,dataset_preprocessed\factorial\6_factorial.py,factorial,1,0.1094,0.0417
dataset_preprocessed\factorial\4_factorial.py,dataset_preprocessed\factorial\5_factorial.py,factorial,1,0.5111,0.4444
dataset_preprocessed\factorial\4_factorial.py,dataset_preprocessed\factorial\6_factorial.py,factorial,1,0.1935,0.1818
dataset_preprocessed\factorial\5_factorial.py,dataset_preprocessed\factorial\6_factorial.py,factorial,1,0.2727,0.2632
dataset_preprocessed\fibonacci\1_fibonacci.py,dataset_preprocessed\fibonacci\2_fibonacci.py,fibonacci,0,0.0208,0.0
dataset_preprocessed\fibonacci\1_fibonacci.py,dataset_preprocessed\fibonacci\3_fibonacci.py,fibonacci,0,0.04,0.027
dataset_preprocessed\fibonacci\1_fibonacci.py,dataset_preprocessed\fibonacci\4_fibonacci.py,fibonacci,1,0.629,0.6087
dataset_preprocessed\fibonacci\1_fibonacci.py,dataset_preprocessed\fibonacci\5_fibonacci.py,fibonacci,1,0.1685,0.1176
dataset_preprocessed\fibonacci\1_fibonacci.py,dataset_preprocessed\fibonacci\6_fibonacci.py,fibonacci,1,0.4079,0.3226
dataset_preprocessed\fibonacci\2_fibonacci.py,dataset_preprocessed\fibonacci\3_fibonacci.py,fibonacci,0,0.0208,0.0
dataset_preprocessed\fibonacci\2_fibonacci.py,dataset_preprocessed\fibonacci\4_fibonacci.py,fibonacci,1,0.0215,0.0
dataset_preprocessed\fibonacci\2_fibonacci.py,dataset_preprocessed\fibonacci\5_fibonacci.py,fibonacci,1,0.0208,0.0
dataset_preprocessed\fibonacci\2_fibonacci.py,dataset_preprocessed\fibonacci\6_fibonacci.py,fibonacci,1,0.0202,0.0
dataset_preprocessed\fibonacci\3_fibonacci.py,dataset_preprocessed\fibonacci\4_fibonacci.py,fibonacci,1,0.0632,0.0571
dataset_preprocessed\fibonacci\3_fibonacci.py,dataset_preprocessed\fibonacci\5_fibonacci.py,fibonacci,1,0.0612,0.027
dataset_preprocessed\fibonacci\3_fibonacci.py,dataset_preprocessed\fibonacci\6_fibonacci.py,fibonacci,1,0.0594,0.0513
dataset_preprocessed\fibonacci\4_fibonacci.py,dataset_preprocessed\fibonacci\5_fibonacci.py,fibonacci,1,0.2024,0.1212
dataset_preprocessed\fibonacci\4_fibonacci.py,dataset_preprocessed\fibonacci\6_fibonacci.py,fibonacci,1,0.4648,0.3793
dataset_preprocessed\fibonacci\5_fibonacci.py,dataset_preprocessed\fibonacci\6_fibonacci.py,fibonacci,1,0.2159,0.1389
dataset_preprocessed\matrixMultiply\1_matrixMultiply.py,dataset_preprocessed\matrixMultiply\2_matrixMultiply.py,matrixMultiply,0,0.12,0.1205
dataset_preprocessed\matrixMultiply\1_matrixMultiply.py,dataset_preprocessed\matrixMultiply\3_matrixMultiply.py,matrixMultiply,0,0.1524,0.1538
dataset_preprocessed\matrixMultiply\1_matrixMultiply.py,dataset_preprocessed\matrixMultiply\4_matrixMultiply.py,matrixMultiply,1,0.5965,0.5541
dataset_preprocessed\matrixMultiply\1_matrixMultiply.py,dataset_preprocessed\matrixMultiply\5_matrixMultiply.py,matrixMultiply,1,0.3831,0.3448
dataset_preprocessed\matrixMultiply\1_matrixMultiply.py,dataset_preprocessed\matrixMultiply\6_matrixMultiply.py,matrixMultiply,1,0.2328,0.2178
dataset_preprocessed\matrixMultiply\2_matrixMultiply.py,dataset_preprocessed\matrixMultiply\3_matrixMultiply.py,matrixMultiply,0,0.097,0.1111
dataset_preprocessed\matrixMultiply\2_matrixMultiply.py,dataset_preprocessed\matrixMultiply\4_matrixMultiply.py,matrixMultiply,1,0.1206,0.125
dataset_preprocessed\matrixMultiply\2_matrixMultiply.py,dataset_preprocessed\matrixMultiply\5_matrixMultiply.py,matrixMultiply,1,0.1176,0.122
dataset_preprocessed\matrixMultiply\2_matrixMultiply.py,dataset_preprocessed\matrixMultiply\6_matrixMultiply.py,matrixMultiply,1,0.1132,0.1136
dataset_preprocessed\matrixMultiply\3_matrixMultiply.py,dataset_preprocessed\matrixMultiply\4_matrixMultiply.py,matrixMultiply,1,0.1036,0.1092
dataset_preprocessed\matrixMultiply\3_matrixMultiply.py,dataset_preprocessed\matrixMultiply\5_matrixMultiply.py,matrixMultiply,1,0.1254,0.1261
dataset_preprocessed\matrixMultiply\3_matrixMultiply.py,dataset_preprocessed\matrixMultiply\6_matrixMultiply.py,matrixMultiply,1,0.099,0.1024
dataset_preprocessed\matrixMultiply\4_matrixMultiply.py,dataset_preprocessed\matrixMultiply\5_matrixMultiply.py,matrixMultiply,1,0.3781,0.3902
dataset_preprocessed\matrixMultiply\4_matrixMultiply.py,dataset_preprocessed\matrixMultiply\6_matrixMultiply.py,matrixMultiply,1,0.2723,0.2903
dataset_preprocessed\matrixMultiply\5_matrixMultiply.py,dataset_preprocessed\matrixMultiply\6_matrixMultiply.py,matrixMultiply,1,0.3242,0.3261
dataset_preprocessed\palindrome\1_palindrome.py,dataset_preprocessed\palindrome\2_palindrome.py,palindrome,0,0.1707,0.1212
dataset_preprocessed\palindrome\1_palindrome.py,dataset_preprocessed\palindrome\3_palindrome.py,palindrome,0,0.0526,0.0278
dataset_preprocessed\palindrome\1_palindrome.py,dataset_preprocessed\palindrome\4_palindrome.py,palindrome,1,0.5972,0.5862
dataset_preprocessed\palindrome\1_palindrome.py,dataset_preprocessed\palindrome\5_palindrome.py,palindrome,1,0.049,0.0488
dataset_preprocessed\palindrome\1_palindrome.py,dataset_preprocessed\palindrome\6_palindrome.py,palindrome,1,0.4024,0.3939
dataset_preprocessed\palindrome\2_palindrome.py,dataset_preprocessed\palindrome\3_palindrome.py,palindrome,0,0.0556,0.037
dataset_preprocessed\palindrome\2_palindrome.py,dataset_preprocessed\palindrome\4_palindrome.py,palindrome,1,0.046,0.0278
dataset_preprocessed\palindrome\2_palindrome.py,dataset_preprocessed\palindrome\5_palindrome.py,palindrome,1,0.0506,0.0303
dataset_preprocessed\palindrome\2_palindrome.py,dataset_preprocessed\palindrome\6_palindrome.py,palindrome,1,0.046,0.0278
dataset_preprocessed\palindrome\3_palindrome.py,dataset_preprocessed\palindrome\4_palindrome.py,palindrome,1,0.1585,0.1562
dataset_preprocessed\palindrome\3_palindrome.py,dataset_preprocessed\palindrome\5_palindrome.py,palindrome,1,0.0482,0.0303
dataset_preprocessed\palindrome\3_palindrome.py,dataset_preprocessed\palindrome\6_palindrome.py,palindrome,1,0.044,0.0278
dataset_preprocessed\palindrome\4_palindrome.py,dataset_preprocessed\palindrome\5_palindrome.py,palindrome,1,0.0515,0.0488
dataset_preprocessed\palindrome\4_palindrome.py,dataset_preprocessed\palindrome\6_palindrome.py,palindrome,1,0.4286,0.3939
dataset_preprocessed\palindrome\5_palindrome.py,dataset_preprocessed\palindrome\6_palindrome.py,palindrome,1,0.0515,0.0488
dataset_preprocessed\primeNumber\1_primeNumber.py,dataset_preprocessed\primeNumber\2_primeNumber.py,primeNumber,0,0.0874,0.0667
dataset_preprocessed\primeNumber\1_primeNumber.py,dataset_preprocessed\primeNumber\3_primeNumber.py,primeNumber,0,0.0625,0.0541
dataset_preprocessed\primeNumber\1_primeNumber.py,dataset_preprocessed\primeNumber\4_primeNumber.py,primeNumber,1,0.5424,0.5652
dataset_preprocessed\primeNumber\1_primeNumber.py,dataset_preprocessed\primeNumber\5_primeNumber.py,primeNumber,1,0.3377,0.3667
dataset_preprocessed\primeNumber\1_primeNumber.py,dataset_preprocessed\primeNumber\6_primeNumber.py,primeNumber,1,0.1124,0.1143
dataset_preprocessed\primeNumber\2_primeNumber.py,dataset_preprocessed\primeNumber\3_primeNumber.py,primeNumber,0,0.028,0.0217
dataset_preprocessed\primeNumber\2_primeNumber.py,dataset_preprocessed\primeNumber\4_primeNumber.py,primeNumber,1,0.1,0.0732
dataset_preprocessed\primeNumber\2_primeNumber.py,dataset_preprocessed\primeNumber\5_primeNumber.py,primeNumber,1,0.0571,0.0426
dataset_preprocessed\primeNumber\2_primeNumber.py,dataset_preprocessed\primeNumber\6_primeNumber.py,primeNumber,1,0.0918,0.0444
dataset_preprocessed\primeNumber\3_primeNumber.py,dataset_preprocessed\primeNumber\4_primeNumber.py,primeNumber,1,0.0349,0.0294
dataset_preprocessed\primeNumber\3_primeNumber.py,dataset_preprocessed\primeNumber\5_primeNumber.py,primeNumber,1,0.1348,0.0811
dataset_preprocessed\primeNumber\3_primeNumber.py,dataset_preprocessed\primeNumber\6_primeNumber.py,primeNumber,1,0.0659,0.027
dataset_preprocessed\primeNumber\4_primeNumber.py,dataset_preprocessed\primeNumber\5_primeNumber.py,primeNumber,1,0.2162,0.2333
dataset_preprocessed\primeNumber\4_primeNumber.py,dataset_preprocessed\primeNumber\6_primeNumber.py,primeNumber,1,0.1622,0.1667
dataset_preprocessed\primeNumber\5_primeNumber.py,dataset_preprocessed\primeNumber\6_primeNumber.py,primeNumber,1,0.1667,0.2121
dataset_preprocessed\reverseLL\1_reverseLL.py,dataset_preprocessed\reverseLL\2_reverseLL.py,reverseLL,0,0.4072,0.3768
