problem_id,file_num,family
binarySearch,1,1
binarySearch,2,2
binarySearch,3,3
binarySearch,4,1
binarySearch,5,1
binarySearch,6,1
bubblesort,1,1
bubblesort,2,2
bubblesort,3,3
bubblesort,4,4
bubblesort,5,1
bubblesort,6,2
factorial,1,1
factorial,2,2
factorial,3,3
factorial,4,1
factorial,5,1
factorial,6,1
fibonacci,1,1
fibonacci,2,2
fibonacci,3,3
fibonacci,4,1
fibonacci,5,1
fibonacci,6,1
matrixMultiply,1,1
matrixMultiply,2,2
matrixMultiply,3,3
matrixMultiply,4,1
matrixMultiply,5,1
matrixMultiply,6,1
palindrome,1,1
palindrome,2,2
palindrome,3,3
palindrome,4,1
palindrome,5,1
palindrome,6,1
primeNumber,1,1
primeNumber,2,2
primeNumber,3,3
primeNumber,4,1
primeNumber,5,1
primeNumber,6,1
reverseLL,1,1
reverseLL,2,2
reverseLL,3,3
reverseLL,4,1
reverseLL,5,1
reverseLL,6,1
